Subject,NEORAW_01,NEORAW_06,NEORAW_11,NEORAW_16,NEORAW_21,NEORAW_26,NEORAW_31,NEORAW_36,NEORAW_41,NEORAW_46,NEORAW_51,NEORAW_56
376085,0,1,2,1,4,1,3,4,2,2,0,2
655387,1,1,4,2,1,1,0,2,0,3,0,0
884002,4,4,4,4,0,1,1,0,1,2,0,2
880056,4,0,4,1,4,1,0,2,3,3,1,3
649957,2,1,1,0,0,0,1,0,0,4,4,1
852588,4,2,1,1,4,0,2,4,2,0,3,1
464752,1,4,0,1,4,0,3,4,3,0,0,2
156745,3,3,0,1,1,2,3,3,0,0,2,3
477215,3,3,1,2,3,4,4,4,4,4,4,4
365816,1,4,1,4,4,2,3,1,2,1,0,4
286378,4,3,2,0,4,3,4,0,0,0,2,1
344367,0,0,4,3,2,4,0,4,0,0,1,2
920418,2,3,0,4,1,1,0,2,4,2,1,0
563157,4,1,1,3,3,3,4,3,1,1,3,4
342810,0,4,2,0,0,2,1,1,3,2,3,4
142141,0,4,1,1,1,3,0,1,3,3,0,0
949174,1,3,4,3,2,3,3,0,0,0,4,3
163686,2,2,2,1,3,2,2,1,1,0,1,0
573021,1,2,1,4,3,2,2,3,0,1,4,0
192084,4,3,1,2,0,2,3,0,1,1,1,2
950311,2,2,3,0,0,0,1,0,3,1,4,1
698598,2,1,3,1,4,0,4,1,3,2,3,0
354433,4,2,2,2,2,0,1,2,1,4,1,0
275725,0,2,0,2,0,0,4,0,4,2,0,0
606022,0,3,2,4,2,0,1,0,2,4,2,2
153219,3,2,4,4,1,2,0,4,2,3,1,0
578033,3,1,4,0,3,2,0,2,3,0,4,2
338391,0,0,4,2,3,1,0,1,2,3,0,4
760280,2,4,2,0,0,3,4,0,3,4,2,2
461874,4,1,0,0,2,2,4,2,3,0,2,4
525301,2,0,1,1,0,4,0,0,0,0,0,0
317003,3,3,0,2,3,4,3,2,0,0,1,0
754609,1,4,1,1,3,3,2,4,2,1,3,1
671273,2,3,1,0,3,0,4,1,3,2,2,1
395023,2,2,2,1,0,4,2,2,1,2,1,4
598156,4,4,2,1,2,4,4,0,4,1,4,2
954136,3,4,4,0,2,0,1,1,4,1,4,1
158737,0,3,0,4,3,0,4,4,4,3,3,3
457938,2,2,4,3,1,1,1,3,1,2,0,1
151333,1,2,2,4,2,0,0,1,3,4,4,2
188399,2,4,3,2,2,2,2,3,2,1,1,0
952648,4,3,3,2,4,4,0,3,3,1,1,1
890520,2,4,2,2,0,4,2,4,2,1,3,3
356280,3,1,4,0,1,2,4,1,3,2,3,1
330713,3,0,4,0,4,1,3,4,2,3,2,2
528829,1,4,1,2,0,4,2,1,4,3,1,4
884742,3,4,1,0,4,1,1,0,2,4,3,4
441299,1,2,4,0,2,1,2,1,3,4,1,1
500933,3,2,4,1,3,2,2,0,0,0,2,1
313998,1,1,1,1,4,1,2,2,2,2,2,2
234698,3,3,4,0,1,1,4,0,1,0,4,4
987872,0,3,2,4,2,3,1,4,4,2,4,4
376351,4,4,1,3,1,1,3,0,3,1,0,0
650012,2,0,4,3,4,0,3,2,2,3,2,1
443827,2,3,3,3,2,2,4,0,2,0,4,0
528564,2,2,4,4,4,2,3,1,4,4,2,3
847191,4,4,3,4,2,4,3,0,4,0,3,3
151794,3,1,0,3,3,0,0,0,2,3,4,2
730866,3,1,0,4,3,4,4,1,4,3,3,0
979501,2,4,1,3,2,0,4,0,4,3,4,1
842287,3,1,2,3,4,0,0,3,3,2,3,0
712497,4,2,3,2,0,1,3,3,0,2,2,1
526268,2,0,3,2,3,4,4,0,4,0,1,3
388439,1,4,2,2,4,1,4,1,1,4,3,3
612611,0,1,4,2,3,3,3,4,1,0,3,4
591299,1,3,4,4,2,0,4,2,0,1,3,3
710170,2,4,1,1,1,0,3,4,2,2,0,3
647894,0,0,3,3,1,3,1,2,3,1,0,0
171698,1,1,3,0,2,4,2,0,1,2,0,4
848536,4,4,3,0,3,0,1,2,0,1,2,3
755970,0,2,0,4,4,4,3,4,4,4,3,0
306280,2,1,0,3,4,3,4,1,0,0,2,1
860698,0,4,1,2,2,4,4,4,3,0,4,1
215551,4,0,3,0,0,1,2,0,0,0,3,0
589000,2,2,0,0,4,2,1,3,4,1,3,2
606274,0,4,0,3,2,2,2,4,0,2,3,1
690120,1,3,2,2,2,1,2,3,0,0,4,1
489747,0,2,0,1,2,3,1,0,4,0,2,4
988423,3,1,0,4,1,4,4,2,1,4,0,2
320817,4,3,1,4,1,1,2,0,3,2,3,3
804086,0,3,0,1,0,1,3,1,4,2,2,1
185182,1,4,0,4,2,3,2,1,4,2,4,3
110906,3,3,4,1,2,1,0,3,3,1,0,1
126665,2,0,1,2,1,2,3,3,4,1,0,3
241187,1,3,0,4,3,0,3,0,1,3,0,3
964279,2,3,4,3,1,4,0,1,2,2,1,3
330598,0,1,0,2,3,0,1,4,4,3,2,3
739879,0,1,4,0,1,2,1,2,4,3,2,3
831813,4,3,3,4,3,4,0,1,2,4,0,3
693927,1,1,4,1,1,3,3,0,1,1,3,4
478802,3,1,1,0,3,0,3,4,2,4,2,0
100343,0,1,3,0,2,3,4,4,4,3,1,0
584160,3,2,3,1,2,2,2,4,4,4,4,1
933004,1,2,0,0,2,4,2,4,4,4,2,2
897385,4,4,4,4,2,1,1,1,2,0,3,3
150452,1,0,2,3,4,4,2,4,1,1,0,3
685633,4,1,4,4,2,4,1,4,4,4,2,0
404982,0,1,4,4,4,0,1,2,0,2,3,3
391811,1,1,2,0,1,0,3,4,1,3,2,4
359876,4,0,4,2,1,4,3,4,0,4,0,3
666554,0,4,3,2,3,3,1,1,1,4,4,0
252009,0,2,2,3,0,3,2,0,3,1,4,0
867606,3,1,4,3,3,3,4,1,2,4,2,2
981760,3,4,4,3,4,2,1,0,2,0,2,4
258536,4,1,1,2,1,0,1,1,4,4,0,2
104845,4,0,1,4,1,2,1,2,0,0,4,1
909295,0,2,1,0,2,4,0,3,0,4,2,3
632652,0,0,4,1,0,2,0,0,1,2,0,4
228952,0,2,1,2,2,1,1,3,0,1,2,2
459918,2,2,1,1,2,3,1,2,1,1,3,0
654615,1,2,3,2,2,4,1,0,0,0,0,1
597603,4,4,2,0,0,3,1,0,3,1,1,4
162904,0,0,3,3,2,0,4,2,3,3,0,3
464423,1,4,2,1,1,3,4,4,0,1,2,3
860683,3,3,2,2,4,1,2,0,1,0,3,4
941555,2,0,1,3,1,2,4,4,0,4,3,2
910049,2,3,1,4,2,1,1,4,2,2,4,4
138066,0,2,3,1,1,1,3,0,0,4,0,3
132132,0,0,3,2,4,4,0,1,0,1,3,4
526977,2,4,2,4,1,2,2,2,4,1,3,3
249526,2,3,2,2,4,3,3,1,3,1,0,4
354935,0,0,2,1,3,2,2,1,1,4,2,2
696932,4,0,3,2,1,3,2,4,2,4,3,1
986291,3,0,1,2,1,2,1,0,4,0,3,0
251619,0,3,0,2,3,0,1,3,3,1,4,0
868824,2,4,4,3,4,4,2,4,4,3,3,3
366473,2,1,4,1,0,4,3,1,0,2,4,0
482206,2,1,1,0,1,1,4,0,3,3,1,1
875528,4,3,0,2,4,3,3,4,0,2,3,4
555437,3,3,0,0,0,4,0,3,3,2,0,3
252731,1,4,0,2,1,4,0,1,3,3,2,3
231807,2,2,4,0,4,3,1,2,0,2,4,3
394693,1,4,1,3,1,3,2,1,2,2,2,2
473456,2,3,2,4,1,1,4,1,1,1,0,0
709927,3,0,2,0,4,2,0,4,3,4,1,3
428680,4,0,1,3,4,4,3,1,3,4,1,3
401517,0,1,3,1,3,3,4,4,4,2,0,0
871018,1,4,1,0,3,3,1,3,2,0,2,4
429319,2,4,2,2,2,1,3,2,4,1,1,1
873627,3,0,2,1,0,2,3,4,4,4,3,0
945081,0,1,3,3,0,4,2,0,2,4,3,0
932244,0,1,0,0,0,3,0,0,2,4,3,2
593115,4,4,4,0,2,0,0,1,4,3,0,1
113616,2,1,2,3,4,2,1,2,0,3,4,1
423296,1,0,2,1,4,2,4,4,3,0,3,2
485799,0,2,2,2,3,3,3,3,0,0,4,2
300928,2,2,0,1,3,1,0,3,4,1,3,1
221680,4,4,3,2,2,4,1,4,3,2,3,2
821896,0,3,2,4,2,0,0,1,4,0,3,1
844077,2,2,3,2,3,2,2,1,2,0,0,0
962530,2,1,1,4,4,1,2,0,3,0,4,3
145445,0,1,4,3,3,1,1,0,3,4,1,1
564220,2,4,4,0,4,4,3,0,4,4,2,1
156311,2,0,3,0,4,3,3,4,3,2,1,1
316680,2,1,0,4,4,4,0,3,4,1,3,2
205994,2,0,4,3,4,1,1,2,2,3,2,0
992997,2,1,4,0,0,1,4,2,4,1,3,0
472221,0,1,0,1,2,2,1,3,1,1,2,0
868005,3,0,0,0,3,3,4,4,0,2,2,0
518842,3,4,1,4,4,2,1,3,1,3,4,1
468817,3,0,4,1,3,2,4,2,2,3,4,0
732745,1,3,1,4,0,3,0,0,2,1,3,3
520868,3,0,3,3,0,4,0,4,3,2,3,4
712067,1,2,0,4,0,4,1,2,3,2,4,4
676740,3,4,4,2,0,2,0,0,3,4,1,2
861031,1,1,4,3,3,1,0,3,3,3,2,2
619523,1,4,2,4,1,4,1,4,0,2,1,4
946038,1,3,0,1,0,4,0,3,0,2,4,1
882880,1,1,0,0,3,0,2,0,0,0,3,2
502300,2,0,4,4,4,3,0,3,0,2,3,3
211589,3,3,1,0,3,2,1,0,3,4,4,3
697801,3,1,0,4,3,3,3,0,2,2,1,3
558668,1,1,4,1,2,0,3,2,0,0,3,2
394810,0,0,0,0,2,0,2,0,0,1,0,4
689340,4,1,4,1,3,0,2,2,4,1,4,4
592951,0,0,0,3,1,4,2,3,2,4,1,1
688099,1,3,3,4,1,2,1,2,3,3,2,1
678074,3,3,4,3,0,1,1,2,2,4,2,0
980887,4,4,4,2,1,3,1,3,3,2,3,1
117876,2,2,3,3,0,3,4,3,4,0,0,2
416853,0,4,0,0,0,1,2,2,3,4,4,2
600924,2,3,1,1,0,4,3,0,4,2,0,0
378544,0,1,1,0,1,2,1,3,2,1,1,3
663580,1,4,4,3,1,1,2,0,1,1,1,4
706325,1,1,3,1,1,1,3,3,1,3,4,3
539082,2,0,2,0,4,4,0,4,3,0,4,2
375590,3,1,1,3,1,4,2,3,0,4,1,4
458272,1,0,1,2,0,1,3,2,3,1,0,0
946970,1,1,3,1,3,3,1,1,2,3,2,4
554274,1,3,3,3,2,3,4,1,1,1,4,2
224403,3,0,1,4,2,0,0,1,4,0,1,2
751525,2,3,0,1,2,0,1,2,1,1,3,3
321370,2,4,1,2,2,0,0,1,2,1,3,4
656977,0,0,4,4,1,0,2,4,1,2,3,1
894833,3,0,1,3,0,1,3,2,3,1,4,0
995303,1,1,0,0,3,0,1,0,3,0,2,3
307653,3,2,0,3,3,0,0,0,4,3,4,1
430493,2,3,4,0,2,0,4,0,2,1,0,2
176728,0,0,0,1,4,1,1,2,3,2,1,0
994309,1,1,4,4,0,2,1,2,4,0,2,4
535741,4,1,4,0,2,1,3,4,4,3,4,0
948347,0,0,2,3,2,0,3,3,2,1,4,0
182374,2,1,3,0,2,3,4,3,2,2,0,3
500004,3,4,3,1,2,4,1,4,2,2,4,1
974086,2,3,3,1,3,2,2,0,3,1,3,2
403743,1,3,4,4,1,3,2,1,4,2,1,1
804805,3,0,4,4,0,0,0,3,0,1,4,2
144537,1,3,1,0,1,2,4,1,1,3,4,2
453030,2,1,0,2,2,3,1,0,1,3,0,4
712414,2,1,3,1,1,4,2,0,1,3,3,1
532246,4,4,1,2,1,4,0,2,1,3,4,2
274331,3,4,1,0,3,4,4,4,0,4,0,1
636840,4,2,2,1,1,0,1,4,0,4,0,3
742252,3,0,3,2,4,3,4,1,2,3,2,4
862148,2,1,2,4,2,3,2,4,4,1,0,3
687464,2,1,1,3,1,3,0,1,4,1,1,1
550464,4,4,4,0,1,0,0,0,1,3,3,2
770712,0,4,2,1,1,1,3,4,3,1,1,4
392272,0,3,0,3,4,3,4,2,1,0,2,0
573281,2,3,3,0,3,0,3,2,1,0,3,3
642629,3,3,1,1,3,0,1,1,0,1,0,0
451481,2,0,0,0,0,4,3,4,1,4,1,1
300158,3,3,2,3,4,4,1,2,2,1,1,1
977260,2,0,2,2,0,0,3,4,2,1,0,3
472409,4,3,3,3,3,2,4,2,4,4,4,0
692307,4,3,1,3,1,0,2,3,2,1,0,2
136678,0,3,2,4,2,2,4,2,3,3,4,1
691720,0,0,4,1,1,2,4,3,1,2,1,4
498807,1,4,0,3,1,1,4,3,3,0,1,0
133855,2,4,0,1,4,2,1,3,1,4,2,3
842888,1,1,3,1,3,2,1,4,1,2,3,2
688638,1,4,2,4,1,2,0,1,2,2,4,1
384978,0,1,3,1,3,0,1,2,0,3,4,4
203092,1,4,0,4,1,3,1,2,4,4,2,4
416273,3,3,1,0,1,3,0,4,4,1,0,4
466652,3,1,0,1,1,3,4,3,0,3,0,3
978152,0,4,1,2,4,3,2,1,0,3,3,4
874704,1,3,1,3,1,1,2,3,1,2,1,0
334890,1,2,0,2,3,0,2,3,4,0,2,1
465795,1,0,3,3,0,2,2,0,3,1,1,4
660349,1,4,1,0,3,3,3,2,4,0,2,3
331348,3,0,4,4,3,4,0,3,0,1,3,3
335043,1,1,4,1,2,0,3,2,0,1,4,2
368128,0,3,0,4,0,2,2,1,4,1,4,4
425790,2,3,2,4,1,2,3,0,0,4,4,0
670308,2,3,0,3,0,3,4,4,2,4,4,0
595411,4,3,1,3,0,2,4,3,2,1,2,0
816016,3,3,2,4,0,3,4,0,0,1,2,3
182491,2,4,2,2,2,4,3,1,1,3,4,2
775387,4,1,4,3,3,4,3,2,3,2,4,3
674584,3,4,2,3,3,2,3,3,1,1,4,2
881381,4,1,4,2,3,4,0,2,4,1,3,3
922489,2,1,4,3,3,0,1,2,2,1,3,1
412280,1,3,1,2,0,3,2,0,4,0,1,2
224568,3,0,2,1,3,0,2,4,2,1,0,3
144100,3,4,2,4,3,1,1,1,3,3,4,3
651557,1,0,4,0,3,4,4,4,3,3,0,4
838141,2,0,2,0,2,1,3,1,2,4,1,3
377277,1,2,4,0,0,2,1,1,1,0,4,1
151840,1,1,2,3,3,2,1,1,1,1,0,3
598529,2,1,2,4,3,4,1,4,2,4,0,1
396308,0,0,2,0,0,0,2,1,0,3,4,1
945520,4,2,2,3,4,0,4,3,2,2,3,3
389989,3,0,3,1,4,4,1,0,0,2,3,2
452844,3,2,1,3,2,3,1,0,3,0,0,0
104519,1,1,2,2,4,0,2,4,4,1,2,1
223135,4,2,4,0,1,3,1,4,3,1,4,0
108468,2,1,2,2,1,2,1,4,0,2,2,3
358242,2,4,0,1,4,0,1,1,3,1,3,1
857898,4,3,3,2,0,1,4,0,0,3,3,2
816357,4,4,4,1,4,3,3,2,2,4,3,1
441604,4,0,0,1,2,4,3,1,2,3,4,0
758567,1,0,0,4,3,3,2,3,2,0,3,2
873230,0,4,1,0,3,3,3,4,2,3,4,2
428280,0,4,4,3,0,4,1,2,0,3,0,1
975998,4,2,0,3,3,4,0,1,0,2,2,3
584753,1,2,0,2,4,3,4,1,3,3,4,3
953804,4,3,3,4,4,0,1,1,2,1,4,3
106220,3,1,1,3,3,3,1,1,4,0,2,1
614874,0,0,1,4,3,2,4,3,1,1,4,2
532456,1,2,4,4,2,3,4,4,3,0,2,1
426602,1,0,1,3,0,4,0,3,4,1,4,2
641604,0,1,4,3,0,4,1,0,3,1,0,4
329930,3,1,2,4,3,2,3,2,1,1,1,2
986520,0,4,2,4,0,2,4,4,4,0,2,3
940855,3,3,4,0,3,0,0,3,0,0,2,1
351120,0,3,0,2,0,2,4,1,4,2,1,2
675995,3,1,1,4,2,0,0,3,0,2,3,0
800449,0,4,3,3,3,4,0,3,3,2,4,2
332973,0,2,4,4,4,3,4,1,0,3,3,0
410133,3,2,1,4,4,3,4,2,2,1,4,4
629365,3,4,4,3,0,0,1,4,4,0,1,0
620962,1,2,3,3,1,4,0,4,2,0,1,4
823141,4,1,4,1,1,2,0,0,1,1,0,0
936333,2,4,3,2,0,2,0,0,2,0,0,2
232441,1,4,4,1,3,0,0,2,2,4,1,4
997135,4,0,0,2,4,1,3,1,2,3,0,0
175082,4,1,0,3,0,4,3,1,1,4,4,3
852922,4,3,2,4,3,1,0,2,0,1,1,2
842187,2,4,0,3,3,4,0,3,3,4,1,4
530646,0,1,2,4,4,0,2,4,4,3,2,0
220815,2,1,2,3,3,4,3,1,4,3,2,4
103795,2,4,1,4,2,2,1,4,0,2,3,1
134650,1,3,0,0,2,1,2,3,4,3,0,4
773604,2,4,1,1,3,2,4,1,0,0,2,2
994999,2,2,4,1,4,1,3,0,3,2,3,2
656679,1,4,4,4,2,0,2,0,1,2,1,2
380812,2,4,1,0,2,2,1,0,2,0,2,3
575630,0,3,3,3,1,1,1,1,0,3,2,0
256206,4,1,2,2,0,3,4,0,0,2,1,1
967124,2,4,1,0,1,1,0,2,0,2,4,2
442369,3,1,3,1,1,1,3,0,1,4,0,2
688604,2,1,4,4,0,0,1,3,0,1,1,1
590136,4,3,3,2,2,0,4,4,2,3,0,1
245245,4,4,3,3,1,2,0,0,1,2,3,3
371809,4,0,1,3,3,0,3,3,3,3,1,1
661400,4,3,2,4,3,4,3,4,4,0,0,3
636343,3,4,2,2,3,2,1,1,1,3,4,2
553650,4,3,2,3,2,4,4,4,1,3,4,2
845652,1,1,0,1,1,2,0,4,1,0,3,4
481928,2,4,3,3,0,4,0,0,4,2,1,0
639369,2,1,2,4,0,4,4,4,2,1,0,0
918143,3,0,3,3,0,4,2,2,4,1,3,3
595867,1,1,1,2,2,3,2,2,3,1,3,2
293351,4,2,0,2,3,4,3,1,1,0,1,1
843422,3,1,1,1,2,4,0,4,4,3,4,1
807503,1,2,1,4,2,2,1,4,1,1,0,1
601838,3,3,2,3,1,4,1,2,0,1,1,2
118076,2,3,2,0,1,3,4,0,1,0,0,1
326020,3,3,2,1,2,4,3,1,0,4,4,1
315472,1,1,2,4,3,3,3,4,0,3,3,0
972308,2,2,0,2,3,1,4,4,1,2,0,1
898276,3,0,1,2,4,2,1,4,2,0,3,3
558844,0,3,0,0,2,0,0,2,2,0,2,1
713637,0,3,1,2,0,2,3,3,1,3,0,1
507500,1,2,2,1,1,1,1,0,4,2,3,4
584304,3,2,2,0,3,1,1,0,1,0,4,3
787888,4,2,3,3,1,1,2,2,1,4,2,3
732646,1,2,2,0,1,1,1,1,4,0,3,1
689162,1,4,2,1,0,0,2,4,2,4,4,4
762639,3,4,3,4,2,3,1,3,4,2,1,0
721049,1,1,1,2,4,1,4,4,1,4,3,2
551505,0,3,3,1,3,2,3,2,2,1,1,3
950755,4,1,4,1,2,4,0,2,3,1,1,0
780979,2,1,4,0,4,1,2,1,3,2,3,0
283707,2,4,2,2,1,1,0,3,1,1,2,0
616166,1,3,3,2,2,4,1,2,4,2,2,3
777265,3,2,3,0,3,4,4,2,1,4,2,0
291010,3,3,2,4,3,2,4,3,2,4,4,2
810024,3,1,4,2,2,4,4,3,0,3,4,2
816906,4,3,1,3,1,0,2,3,4,0,1,2
542850,4,0,2,2,0,0,3,3,4,4,2,1
264176,4,0,0,0,2,3,1,1,2,0,3,0
938393,0,1,2,2,4,2,4,0,4,4,3,0
831399,3,1,4,2,4,2,2,4,4,4,1,1
656638,4,4,2,0,1,4,2,3,4,4,3,1
111405,3,1,1,0,0,4,2,4,4,0,3,3
874975,4,1,3,3,0,2,2,0,1,1,2,3
728973,3,2,1,4,4,0,1,4,3,3,1,3
781910,0,4,2,3,4,3,3,1,3,3,1,3
461465,1,4,1,4,4,1,0,4,4,0,0,0
197521,4,4,0,1,2,1,1,0,3,0,1,2
648641,2,1,4,4,4,1,1,1,1,1,3,1
635106,1,0,3,3,4,1,3,3,2,1,0,1
484709,0,3,0,3,3,2,1,0,4,0,1,0
246033,1,2,4,4,4,0,1,3,3,3,3,4
208415,1,0,3,2,1,2,4,2,0,3,3,1
400909,3,0,0,2,0,4,3,3,2,1,2,2
643446,0,1,3,4,3,2,0,0,0,0,0,0
795752,1,3,2,0,4,3,0,2,1,0,0,4
834127,1,2,4,4,2,1,4,2,0,4,4,0
354356,3,3,4,2,3,3,3,1,0,2,4,4
686205,1,2,3,1,3,1,3,4,3,3,2,0
818713,3,0,1,1,0,2,0,4,1,4,1,2
769742,1,4,2,2,3,2,0,4,0,2,4,1
682690,0,1,3,0,4,0,1,0,4,0,3,1
823996,4,0,0,2,0,2,4,3,3,3,2,0
384653,4,1,0,3,0,0,0,3,4,2,3,3
521075,0,4,3,2,2,3,2,2,1,2,3,3
169116,4,2,1,3,3,0,3,2,3,4,0,0
595092,3,2,4,0,1,2,3,1,1,0,0,2
656996,1,0,1,3,0,3,1,2,2,1,1,0
566782,2,2,1,0,4,4,4,3,4,3,0,3
937001,4,2,2,0,3,3,3,0,1,1,3,2
594723,0,0,4,0,3,3,2,0,0,0,2,0
984307,2,0,1,4,4,2,3,4,2,3,2,4
297526,4,2,3,1,1,4,3,4,1,1,1,1
662713,0,1,2,3,2,4,1,2,1,4,3,2
375590,1,4,4,0,0,2,2,2,4,1,2,3
976720,4,4,2,1,3,3,3,2,1,2,3,0
833878,4,1,0,0,1,1,0,4,0,2,4,2
488378,3,3,2,4,1,2,4,0,2,4,3,1
861858,3,3,4,1,4,3,3,0,2,4,2,1
440562,2,1,3,1,1,0,3,3,2,1,1,2
448691,2,3,0,0,2,1,1,1,3,2,1,0
486598,2,4,4,2,0,3,3,3,4,0,4,2
917094,3,4,4,2,2,1,1,4,1,3,0,4
439330,2,2,4,4,3,4,0,3,2,3,0,4
972598,1,0,4,2,0,2,4,4,4,3,4,1
188353,0,3,3,0,3,1,1,4,0,2,4,3
351730,0,2,2,0,1,0,2,4,4,1,0,1
144102,0,2,0,3,2,2,0,1,0,3,2,4
987761,0,1,3,2,4,2,3,3,4,4,2,0
879042,4,0,2,0,2,1,3,1,0,1,2,1
546300,4,1,1,2,2,1,2,4,0,0,0,1
534615,1,1,0,0,0,4,3,1,3,0,0,2
137161,1,2,1,2,4,3,1,3,0,2,0,0
956138,0,0,2,1,4,0,1,4,1,2,4,0
438681,2,1,2,1,4,1,1,0,0,3,4,0
598813,3,3,0,4,0,4,2,3,0,1,3,4
147067,2,2,3,0,0,1,4,3,4,1,1,0
495735,4,0,4,0,3,4,0,4,4,2,1,3
758367,4,3,0,1,3,3,2,2,1,3,2,1
350056,3,2,1,4,0,3,4,4,1,0,0,3
680731,1,1,2,4,2,1,0,4,2,4,0,4
837505,1,3,3,0,2,2,3,0,3,2,1,3
731564,0,2,0,4,2,3,2,0,1,2,1,1
868024,0,3,0,3,3,4,2,1,2,2,1,0
372836,1,1,4,2,3,1,1,4,3,3,1,2
332247,1,4,1,2,3,2,0,4,2,1,4,3
396112,3,0,0,1,0,0,2,2,4,2,3,2
274177,0,4,0,4,3,3,1,3,3,2,0,3
600463,1,2,3,4,0,2,4,2,0,4,1,4
498956,2,0,4,1,1,2,0,1,1,3,3,1
764091,3,2,4,1,2,0,0,4,3,1,0,0
824960,1,2,1,1,3,3,4,0,3,4,1,4
269392,2,4,2,2,3,2,0,0,3,0,0,4
724567,0,1,4,1,4,0,4,2,2,1,0,3
315954,0,4,0,3,4,2,1,1,0,0,2,3
971451,4,3,4,1,2,0,1,4,0,1,2,0
976496,2,3,3,0,4,2,4,0,2,4,0,4
722429,0,0,0,0,3,4,3,4,2,3,1,2
376326,4,4,3,3,0,2,4,1,2,0,3,4
689489,3,2,2,1,2,3,4,0,2,2,2,2
320456,4,1,4,3,3,4,4,3,0,2,2,4
265982,3,4,1,0,3,3,4,1,3,3,1,1
190697,1,1,4,1,4,3,1,1,0,2,1,3
224299,0,2,0,2,1,1,4,1,1,4,4,3
647940,4,3,3,0,0,1,1,3,2,4,1,1
205626,2,4,3,0,0,3,3,2,3,0,1,1
319865,0,4,0,1,0,0,2,3,3,1,2,3
904783,4,4,2,0,1,4,3,0,2,0,1,4
886699,3,0,1,4,2,4,1,2,2,4,3,2
844768,0,4,4,3,0,4,0,2,2,2,2,1
848561,2,4,0,2,0,2,4,4,0,3,0,4
350084,1,2,0,4,4,0,0,0,1,3,0,4
784160,4,4,4,4,4,2,1,1,2,2,2,3
843930,0,4,2,2,0,2,0,1,1,4,0,0
179186,0,2,4,3,4,3,4,0,3,1,4,1
598807,3,1,3,0,1,4,3,4,1,3,3,4
448396,0,4,3,3,1,3,2,0,4,3,4,0
779120,2,1,1,4,2,4,2,2,3,1,4,1
164636,3,4,2,2,2,2,0,3,2,2,0,0
676209,1,2,2,3,0,3,4,2,4,3,3,2
918515,3,3,2,0,3,1,4,2,2,1,3,0
628922,2,3,3,1,3,3,4,2,4,0,1,2
419965,1,3,4,4,0,0,0,4,2,0,2,1
350109,3,2,4,4,4,1,3,0,3,3,2,4
672103,0,2,1,0,3,1,4,2,1,0,0,4
685851,1,0,3,0,4,2,4,1,1,1,0,3
919689,2,0,2,2,1,1,2,1,2,1,3,4
707285,0,0,2,4,1,2,3,4,4,0,4,1
785100,1,2,3,1,4,1,4,0,2,2,3,3
182984,4,1,3,4,2,1,0,4,0,0,1,4
667156,4,2,3,1,3,1,4,3,4,4,3,0
189548,4,4,4,4,0,0,1,4,3,1,3,1
385326,0,3,3,0,3,3,2,4,1,3,2,0
