Subject,NEOFAC_N,NEO-FFI_Compl,NEORAW_01,NEORAW_06,NEORAW_11,NEORAW_16,NEORAW_21,NEORAW_26,NEORAW_31,NEORAW_36,NEORAW_41,NEORAW_46,NEORAW_51,NEORAW_56
461874,24,True,SD,D,SD,SA,N,N,SD,N,A,SA,N,SA
525301,8,True,N,SD,D,A,SD,SA,SA,SD,SD,SA,SD,SD
317003,21,True,D,A,SD,N,A,SA,D,N,SD,SA,D,SD
754609,26,True,A,SA,D,A,A,A,N,SA,N,A,A,D
671273,22,True,N,A,D,SA,A,SD,SD,D,A,N,N,D
395023,23,True,N,N,N,A,SD,SA,N,N,D,N,D,SA
598156,32,True,SD,SA,N,A,N,SA,SD,SD,SA,A,SA,N
954136,25,True,D,SA,SA,SA,N,SD,A,D,SA,A,SA,D
158737,31,True,SA,A,SD,SD,A,SD,SD,SA,SA,D,A,A
457938,21,True,N,N,SA,D,D,D,A,A,D,N,SD,D
151333,25,True,A,N,N,SD,N,SD,SA,D,A,SD,SA,N
188399,24,True,N,SA,A,N,N,N,N,A,N,A,D,SD
952648,29,True,SD,A,A,N,SA,SA,SA,A,A,A,D,D
890520,29,True,N,SA,N,N,SD,SA,N,SA,N,A,A,A
356280,25,True,D,D,SA,SA,D,N,SD,D,A,N,A,D
330713,28,True,D,SD,SA,SA,SA,D,D,SA,N,D,N,N
528829,27,True,A,SA,D,N,SD,SA,N,D,SA,D,D,SA
884742,27,True,D,SA,D,SA,SA,D,A,SD,N,SD,A,SA
441299,22,True,A,N,SA,SA,N,D,N,D,A,SD,D,D
500933,20,True,D,N,SA,A,A,N,N,SD,SD,SA,N,D
313998,21,True,A,D,D,A,SA,D,N,N,N,N,N,N
234698,25,True,D,A,SA,SA,D,D,SD,SD,D,SA,SA,SA
987872,33,True,SA,A,N,SD,N,A,A,SA,SA,N,SA,SA
376351,21,True,SD,SA,D,D,D,D,D,SD,A,A,SD,SD
650012,26,True,N,SD,SA,D,SA,SD,D,N,N,D,N,D
443827,25,True,N,A,A,D,N,N,SD,SD,N,SA,SA,SD
528564,35,True,N,N,SA,SD,SA,N,D,D,SA,SD,N,A
847191,34,True,SD,SA,A,SD,N,SA,D,SD,SA,SA,A,A
151794,21,True,D,D,SD,D,A,SD,SA,SD,N,D,SA,N
730866,30,True,D,D,SD,SD,A,SA,SD,D,SA,D,A,SD
979501,28,True,N,SA,D,D,N,SD,SD,SD,SA,D,SA,D
842287,24,True,D,D,N,D,SA,SD,SA,A,A,N,A,SD
712497,23,True,SD,N,A,N,SD,D,D,A,SD,N,N,D
526268,26,True,N,SD,A,N,A,SA,SD,SD,SA,SA,D,A
388439,30,True,A,SA,N,N,SA,D,SD,D,D,SD,A,A
612611,28,True,SA,D,SA,N,A,A,D,SA,D,SA,A,SA
591299,27,True,A,A,SA,SD,N,SD,SD,N,SD,A,A,A
710170,23,True,N,SA,D,A,D,SD,D,SA,N,N,SD,A
647894,17,True,SA,SD,A,D,D,A,A,N,A,A,SD,SD
171698,20,True,A,D,A,SA,N,SA,N,SD,D,N,SD,SA
848536,23,True,SD,SA,A,SA,A,SD,A,N,SD,A,N,A
755970,32,True,SA,N,SD,SD,SA,SA,D,SA,SA,SD,A,SD
306280,21,True,N,D,SD,D,SA,A,SD,D,SD,SA,N,D
860698,29,True,SA,SA,D,N,N,SA,SD,SA,A,SA,SA,D
215551,13,True,SD,SD,A,SA,SD,D,N,SD,SD,SA,A,SD
589000,24,True,N,N,SD,SA,SA,N,A,A,SA,A,A,N
606274,23,True,SA,SA,SD,D,N,N,N,SA,SD,N,A,D
690120,21,True,A,A,N,N,N,D,N,A,SD,SA,SA,D
489747,19,True,SA,N,SD,A,N,A,A,SD,SA,SA,N,SA
988423,26,True,D,D,SD,SD,D,SA,SD,N,D,SD,SD,N
320817,27,True,SD,A,D,SD,D,D,N,SD,A,N,A,A
804086,18,True,SA,A,SD,A,SD,D,D,D,SA,N,N,D
185182,30,True,A,SA,SD,SD,N,A,N,D,SA,N,SA,A
110906,22,True,D,A,SA,A,N,D,SA,A,A,A,SD,D
126665,22,True,N,SD,D,N,D,N,D,A,SA,A,SD,A
241187,21,True,A,A,SD,SD,A,SD,D,SD,D,D,SD,A
964279,26,True,N,A,SA,D,D,SA,SA,D,N,N,D,A
330598,23,True,SA,D,SD,N,A,SD,A,SA,SA,D,N,A
739879,23,True,SA,D,SA,SA,D,N,A,N,SA,D,N,A
831813,31,True,SD,A,A,SD,A,SA,SA,D,N,SD,SD,A
693927,23,True,A,D,SA,A,D,A,D,SD,D,A,A,SA
478802,23,True,D,D,D,SA,A,SD,D,SA,N,SD,N,SD
100343,25,True,SA,D,A,SA,N,A,SD,SA,SA,D,D,SD
584160,32,True,D,N,A,A,N,N,N,SA,SA,SD,SA,D
933004,27,True,A,N,SD,SA,N,SA,N,SA,SA,SD,N,N
897385,29,True,SD,SA,SA,SD,N,D,A,D,N,SA,A,A
150452,25,True,A,SD,N,D,SA,SA,N,SA,D,A,SD,A
685633,34,True,SD,D,SA,SD,N,SA,A,SA,SA,SD,N,SD
404982,24,True,SA,D,SA,SD,SA,SD,A,N,SD,N,A,A
391811,22,True,A,D,N,SA,D,SD,D,SA,D,D,N,SA
359876,29,True,SD,SD,SA,N,D,SA,D,SA,SD,SD,SD,A
666554,26,True,SA,SA,A,N,A,A,A,D,D,SD,SA,SD
252009,20,True,SA,N,N,D,SD,A,N,SD,A,A,SA,SD
867606,32,True,D,D,SA,D,A,A,SD,D,N,SD,N,N
981760,29,True,D,SA,SA,D,SA,N,A,SD,N,SA,N,SA
258536,21,True,SD,D,D,N,D,SD,A,D,SA,SD,SD,N
104845,20,True,SD,SD,D,SD,D,N,A,N,SD,SA,SA,D
909295,21,True,SA,N,D,SA,N,SA,SA,A,SD,SD,N,A
632652,14,True,SA,SD,SA,A,SD,N,SA,SD,D,N,SD,SA
228952,17,True,SA,N,D,N,N,D,A,A,SD,A,N,N
459918,19,True,N,N,D,A,N,A,A,N,D,A,A,SD
654615,16,True,A,N,A,N,N,SA,A,SD,SD,SA,SD,D
597603,23,True,SD,SA,N,SA,SD,A,A,SD,A,A,D,SA
162904,23,True,SA,SD,A,D,N,SD,SD,N,A,D,SD,A
464423,26,True,A,SA,N,A,D,A,SD,SA,SD,A,N,A
860683,25,True,D,A,N,N,SA,D,N,SD,D,SA,A,SA
941555,26,True,N,SD,D,D,D,N,SD,SA,SD,SD,A,N
910049,30,True,N,A,D,SD,N,D,A,SA,N,N,SA,SA
138066,18,True,SA,N,A,A,D,D,D,SD,SD,SD,SD,A
132132,22,True,SA,SD,A,N,SA,SA,SA,D,SD,A,A,SA
526977,30,True,N,SA,N,SD,D,N,N,N,SA,A,A,A
249526,28,True,N,A,N,N,SA,A,D,D,A,A,SD,SA
354935,20,True,SA,SD,N,A,A,N,N,D,D,SD,N,N
696932,29,True,SD,SD,A,N,D,A,N,SA,N,SD,A,D
986291,17,True,D,SD,D,N,D,N,A,SD,SA,SA,A,SD
251619,20,True,SA,A,SD,N,A,SD,A,A,A,A,SA,SD
868824,40,True,N,SA,SA,D,SA,SA,N,SA,SA,D,A,A
366473,22,True,N,D,SA,A,SD,SA,D,D,SD,N,SA,SD
482206,18,True,N,D,D,SA,D,D,SD,SD,A,D,D,D
875528,32,True,SD,A,SD,N,SA,A,D,SA,SD,N,A,SA
555437,21,True,D,A,SD,SA,SD,SA,SA,A,A,N,SD,A
252731,24,True,A,SA,SD,N,D,SA,SA,D,A,D,N,A
231807,27,True,N,N,SA,SA,SA,A,A,N,SD,N,SA,A
394693,24,True,A,SA,D,D,D,A,N,D,N,N,N,N
473456,20,True,N,A,N,SD,D,D,SD,D,D,A,SD,SD
709927,26,True,D,SD,N,SA,SA,N,SA,SA,A,SD,D,A
428680,31,True,SD,SD,D,D,SA,SA,D,D,A,SD,D,A
401517,25,True,SA,D,A,A,A,A,SD,SA,SA,N,SD,SD
871018,24,True,A,SA,D,SA,A,A,A,A,N,SA,N,SA
429319,25,True,N,SA,N,N,N,D,D,N,SA,A,D,D
873627,26,True,D,SD,N,A,SD,N,D,SA,SA,SD,A,SD
945081,22,True,SA,D,A,D,SD,SA,N,SD,N,SD,A,SD
932244,15,True,SA,D,SD,SA,SD,A,SA,SD,N,SD,A,N
593115,23,True,SD,SA,SA,SA,N,SD,SA,D,SA,D,SD,D
113616,25,True,N,D,N,D,SA,N,A,N,SD,D,SA,D
423296,26,True,A,SD,N,A,SA,N,SD,SA,A,SA,A,N
485799,24,True,SA,N,N,N,A,A,D,A,SD,SA,SA,N
300928,21,True,N,N,SD,A,A,D,SA,A,SA,A,A,D
221680,34,True,SD,SA,A,N,N,SA,A,SA,A,N,A,N
821896,20,True,SA,A,N,SD,N,SD,SA,D,SA,SA,A,D
844077,19,True,N,N,A,N,A,N,N,D,N,SA,SD,SD
962530,25,True,N,D,D,SD,SA,D,N,SD,A,SA,SA,A
145445,22,True,SA,D,SA,D,A,D,A,SD,A,SD,D,D
564220,32,True,N,SA,SA,SA,SA,SA,D,SD,SA,SD,N,D
156311,26,True,N,SD,A,SA,SA,A,D,SA,A,N,D,D
316680,28,True,N,D,SD,SD,SA,SA,SA,A,SA,A,A,N
205994,24,True,N,SD,SA,D,SA,D,A,N,N,D,N,SD
992997,22,True,N,D,SA,SA,SD,D,SD,N,SA,A,A,SD
472221,14,True,SA,D,SD,A,N,N,A,A,D,A,N,SD
868005,21,True,D,SD,SD,SA,A,A,SD,SA,SD,N,N,SD
518842,31,True,D,SA,D,SD,SA,N,A,A,D,D,SA,D
468817,28,True,D,SD,SA,A,A,N,SD,N,N,D,SA,SD
732745,21,True,A,A,D,SD,SD,A,SA,SD,N,A,A,A
520868,29,True,D,SD,A,D,SD,SA,SA,SA,A,N,A,SA
712067,27,True,A,N,SD,SD,SD,SA,A,N,A,N,SA,SA
676740,25,True,D,SA,SA,N,SD,N,SA,SD,A,SD,D,N
861031,26,True,A,D,SA,D,A,D,SA,A,A,D,N,N
619523,28,True,A,SA,N,SD,D,SA,A,SA,SD,N,D,SA
946038,19,True,A,A,SD,A,SD,SA,SA,A,SD,N,SA,D
882880,12,True,A,D,SD,SA,A,SD,N,SD,SD,SA,A,N
502300,28,True,N,SD,SA,SD,SA,A,SA,A,SD,N,A,A
211589,27,True,D,A,D,SA,A,N,A,SD,A,SD,SA,A
697801,25,True,D,D,SD,SD,A,A,D,SD,N,N,D,A
558668,19,True,A,D,SA,A,N,SD,D,N,SD,SA,A,N
394810,9,True,SA,SD,SD,SA,N,SD,N,SD,SD,A,SD,SA
689340,30,True,SD,D,SA,A,A,SD,N,N,SA,A,SA,SA
592951,21,True,SA,SD,SD,D,D,SA,N,A,N,SD,D,D
688099,26,True,A,A,A,SD,D,N,A,N,A,D,N,D
678074,25,True,D,A,SA,D,SD,D,A,N,N,SD,N,SD
980887,31,True,SD,SA,SA,N,D,A,A,A,A,N,A,D
117876,26,True,N,N,A,D,SD,A,SD,A,SA,SA,SD,N
416853,22,True,SA,SA,SD,SA,SD,D,N,N,A,SD,SA,N
600924,20,True,N,A,D,A,SD,SA,D,SD,SA,N,SD,SD
378544,16,True,SA,D,D,SA,D,N,A,A,N,A,D,A
663580,23,True,A,SA,SA,D,D,D,N,SD,D,A,D,SA
706325,25,True,A,D,A,A,D,D,D,A,D,D,SA,A
539082,25,True,N,SD,N,SA,SA,SA,SA,SA,A,SA,SA,N
375590,27,True,D,D,D,D,D,SA,N,A,SD,SD,D,SA
458272,14,True,A,SD,D,N,SD,D,D,N,A,A,SD,SD
946970,25,True,A,D,A,A,A,A,A,D,N,D,N,SA
554274,28,True,A,A,A,D,N,A,SD,D,D,A,SA,N
224403,18,True,D,SD,D,SD,N,SD,SA,D,SA,SA,D,N
751525,19,True,N,A,SD,A,N,SD,A,N,D,A,A,A
321370,22,True,N,SA,D,N,N,SD,SA,D,N,A,A,SA
656977,22,True,SA,SD,SA,SD,D,SD,N,SA,D,N,A,D
894833,21,True,D,SD,D,D,SD,D,D,N,A,A,SA,SD
995303,14,True,A,D,SD,SA,A,SD,A,SD,A,SA,N,A
307653,23,True,D,N,SD,D,A,SD,SA,SD,SA,D,SA,D
430493,20,True,N,A,SA,SA,N,SD,SD,SD,N,A,SD,N
176728,15,True,SA,SD,SD,A,SA,D,A,N,A,N,D,SD
994309,25,True,A,D,SA,SD,SD,N,A,N,SA,SA,N,SA
535741,30,True,SD,D,SA,SA,N,D,D,SA,SA,D,SA,SD
948347,20,True,SA,SD,N,D,N,SD,D,A,N,A,SA,SD
182374,25,True,N,D,A,SA,N,A,SD,A,N,N,SD,A
500004,31,True,D,SA,A,A,N,SA,A,SA,N,N,SA,D
974086,25,True,N,A,A,A,A,N,N,SD,A,A,A,N
403743,27,True,A,A,SA,SD,D,A,N,D,SA,N,D,D
804805,21,True,D,SD,SA,SD,SD,SD,SA,A,SD,A,SA,N
144537,23,True,A,A,D,SA,D,N,SD,D,D,D,SA,N
453030,19,True,N,D,SD,N,N,A,A,SD,D,D,SD,SA
712414,22,True,N,D,A,A,D,SA,N,SD,D,D,A,D
532246,28,True,SD,SA,D,N,D,SA,SA,N,D,D,SA,N
274331,28,True,D,SA,D,SA,A,SA,SD,SA,SD,SD,SD,D
636840,22,True,SD,N,N,A,D,SD,A,SA,SD,SD,SD,A
742252,31,True,D,SD,A,N,SA,A,SD,D,N,D,N,SA
862148,28,True,N,D,N,SD,N,A,N,SA,SA,A,SD,A
687464,19,True,N,D,D,D,D,A,SA,D,SA,A,D,D
550464,22,True,SD,SA,SA,SA,D,SD,SA,SD,D,D,A,N
770712,25,True,SA,SA,N,A,D,D,D,SA,A,A,D,SA
392272,22,True,SA,A,SD,D,SA,A,SD,N,D,SA,N,SD
573281,23,True,N,A,A,SA,A,SD,D,N,D,SA,A,A
642629,14,True,D,A,D,A,A,SD,A,D,SD,A,SD,SD
451481,20,True,N,SD,SD,SA,SD,SA,D,SA,D,SD,D,D
300158,27,True,D,A,N,D,SA,SA,A,N,N,A,D,D
977260,19,True,N,SD,N,N,SD,SD,D,SA,N,A,SD,A
472409,36,True,SD,A,A,D,A,N,SD,N,SA,SD,SA,SD
692307,22,True,SD,A,D,D,D,SD,N,A,N,A,SD,N
136678,30,True,SA,A,N,SD,N,N,SD,N,A,D,SA,D
691720,23,True,SA,SD,SA,A,D,N,SD,A,D,N,D,SA
498807,21,True,A,SA,SD,D,D,D,SD,A,A,SA,D,SD
133855,27,True,N,SA,SD,A,SA,N,A,A,D,SD,N,A
842888,24,True,A,D,A,A,A,N,A,SA,D,N,A,N
688638,24,True,A,SA,N,SD,D,N,SA,D,N,N,SA,D
384978,22,True,SA,D,A,A,A,SD,A,N,SD,D,SA,SA
203092,30,True,A,SA,SD,SD,D,A,A,N,SA,SD,N,SA
416273,24,True,D,A,D,SA,D,A,SA,SA,SA,A,SD,SA
466652,22,True,D,D,SD,A,D,A,SD,A,SD,D,SD,A
978152,27,True,SA,SA,D,N,SA,A,N,D,SD,D,A,SA
874704,19,True,A,A,D,D,D,D,N,A,D,N,D,SD
334890,20,True,A,N,SD,N,A,SD,N,A,SA,SA,N,D
465795,20,True,A,SD,A,D,SD,N,N,SD,A,A,D,SA
660349,26,True,A,SA,D,SA,A,A,D,N,SA,SA,N,A
331348,28,True,D,SD,SA,SD,A,SA,SA,A,SD,A,A,A
335043,21,True,A,D,SA,A,N,SD,D,N,SD,A,SA,N
368128,25,True,SA,A,SD,SD,SD,N,N,D,SA,A,SA,SA
425790,25,True,N,A,N,SD,D,N,D,SD,SD,SD,SA,SD
670308,29,True,N,A,SD,D,SD,A,SD,SA,N,SD,SA,SD
595411,25,True,SD,A,D,D,SD,N,SD,A,N,A,N,SD
816016,25,True,D,A,N,SD,SD,A,SD,SD,SD,A,N,A
182491,30,True,N,SA,N,N,N,SA,D,D,D,D,SA,N
775387,36,True,SD,D,SA,D,A,SA,D,N,A,N,SA,A
674584,31,True,D,SA,N,D,A,N,D,A,D,A,SA,N
881381,31,True,SD,D,SA,N,A,SA,SA,N,SA,A,A,A
922489,23,True,N,D,SA,D,A,SD,A,N,N,A,A,D
412280,19,True,A,A,D,N,SD,A,N,SD,SA,SA,D,N
224568,21,True,D,SD,N,A,A,SD,N,SA,N,A,SD,A
144100,32,True,D,SA,N,SD,A,D,A,D,A,D,SA,A
651557,30,True,A,SD,SA,SA,A,SA,SD,SA,A,D,SD,SA
838141,21,True,N,SD,N,SA,N,D,D,D,N,SD,D,A
377277,17,True,A,N,SA,SA,SD,N,A,D,D,SA,SA,D
151840,19,True,A,D,N,D,A,N,A,D,D,A,SD,A
598529,28,True,N,D,N,SD,A,SA,A,SA,N,SD,SD,D
396308,13,True,SA,SD,N,SA,SD,SD,N,D,SD,D,SA,D
945520,32,True,SD,N,N,D,SA,SD,SD,A,N,N,A,A
389989,23,True,D,SD,A,A,SA,SA,A,SD,SD,N,A,N
452844,18,True,D,N,D,D,N,A,A,SD,A,SA,SD,SD
104519,24,True,A,D,N,N,SA,SD,N,SA,SA,A,N,D
223135,27,True,SD,N,SA,SA,D,A,A,SA,A,A,SA,SD
108468,22,True,N,D,N,N,D,N,A,SA,SD,N,N,A
358242,21,True,N,SA,SD,A,SA,SD,A,D,A,A,A,D
857898,25,True,SD,A,A,N,SD,D,SD,SD,SD,D,A,N
816357,35,True,SD,SA,SA,A,SA,A,D,N,N,SD,A,D
441604,24,True,SD,SD,SD,A,N,SA,D,D,N,D,SA,SD
758567,23,True,A,SD,SD,SD,A,A,N,A,N,SA,A,N
873230,29,True,SA,SA,D,SA,A,A,D,SA,N,D,SA,N
428280,22,True,SA,SA,SA,D,SD,SA,A,N,SD,D,SD,D
975998,24,True,SD,N,SD,D,A,SA,SA,D,SD,N,N,A
584753,30,True,A,N,SD,N,SA,A,SD,D,A,D,SA,A
953804,30,True,SD,A,A,SD,SA,SD,A,D,N,A,SA,A
106220,23,True,D,D,D,D,A,A,A,D,SA,SA,N,D
614874,25,True,SA,SD,D,SD,A,N,SD,A,D,A,SA,N
532456,30,True,A,N,SA,SD,N,A,SD,SA,A,SA,N,D
426602,23,True,A,SD,D,D,SD,SA,SA,A,SA,A,SA,N
641604,21,True,SA,D,SA,D,SD,SA,A,SD,A,A,SD,SA
329930,25,True,D,D,N,SD,A,N,D,N,D,A,D,N
986520,29,True,SA,SA,N,SD,SD,N,SD,SA,SA,SA,N,A
940855,19,True,D,A,SA,SA,A,SD,SA,A,SD,SA,N,D
351120,21,True,SA,A,SD,N,SD,N,SD,D,SA,N,D,N
675995,19,True,D,D,D,SD,N,SD,SA,A,SD,N,A,SD
800449,31,True,SA,SA,A,D,A,SA,SA,A,A,N,SA,N
332973,28,True,SA,N,SA,SD,SA,A,SD,D,SD,D,A,SD
410133,34,True,D,N,D,SD,SA,A,SD,N,N,A,SA,SA
629365,24,True,D,SA,SA,D,SD,SD,A,SA,SA,SA,D,SD
620962,25,True,A,N,A,D,D,SA,SA,SA,N,SA,D,SA
823141,15,True,SD,D,SA,A,D,N,SA,SD,D,A,SD,SD
936333,17,True,N,SA,A,N,SD,N,SA,SD,N,SA,SD,N
232441,26,True,A,SA,SA,A,A,SD,SA,N,N,SD,D,SA
997135,20,True,SD,SD,SD,N,SA,D,D,D,N,D,SD,SD
175082,28,True,SD,D,SD,D,SD,SA,D,D,D,SD,SA,A
852922,23,True,SD,A,N,SD,A,D,SA,N,SD,A,D,N
842187,31,True,N,SA,SD,D,A,SA,SA,A,A,SD,D,SA
530646,26,True,SA,D,N,SD,SA,SD,N,SA,SA,D,N,SD
220815,32,True,N,D,N,D,A,SA,D,D,SA,D,N,SA
103795,26,True,N,SA,D,SD,N,N,A,SA,SD,N,A,D
134650,23,True,A,A,SD,SA,N,D,N,A,SA,D,SD,SA
773604,22,True,N,SA,D,A,A,N,SD,D,SD,SA,N,N
994999,27,True,N,N,SA,A,SA,D,D,SD,A,N,A,N
656679,23,True,A,SA,SA,SD,N,SD,N,SD,D,N,D,N
380812,19,True,N,SA,D,SA,N,N,A,SD,N,SA,N,A
575630,18,True,SA,A,A,D,D,D,A,D,SD,D,N,SD
256206,20,True,SD,D,N,N,SD,A,SD,SD,SD,N,D,D
967124,19,True,N,SA,D,SA,D,D,SA,N,SD,N,SA,N
442369,20,True,D,D,A,A,D,D,D,SD,D,SD,SD,N
688604,18,True,N,D,SA,SD,SD,SD,A,A,SD,A,D,D
590136,28,True,SD,A,A,N,N,SD,SD,SA,N,D,SD,D
245245,26,True,SD,SA,A,D,D,N,SA,SD,D,N,A,A
371809,25,True,SD,SD,D,D,A,SD,D,A,A,D,D,D
661400,34,True,SD,A,N,SD,A,SA,D,SA,SA,SA,SD,A
636343,28,True,D,SA,N,N,A,N,A,D,D,D,SA,N
553650,36,True,SD,A,N,D,N,SA,SD,SA,D,D,SA,N
845652,18,True,A,D,SD,A,D,N,SA,SA,D,SA,A,SA
481928,23,True,N,SA,A,D,SD,SA,SA,SD,SA,N,D,SD
639369,24,True,N,D,N,SD,SD,SA,SD,SA,N,A,SD,SD
918143,28,True,D,SD,A,D,SD,SA,N,N,SA,A,A,A
595867,23,True,A,D,D,N,N,A,N,N,A,A,A,N
293351,22,True,SD,N,SD,N,A,SA,D,D,D,SA,D,D
843422,28,True,D,D,D,A,N,SA,SA,SA,SA,D,SA,D
807503,20,True,A,N,D,SD,N,N,A,SA,D,A,SD,D
601838,23,True,D,A,N,D,D,SA,A,N,SD,A,D,N
118076,17,True,N,A,N,SA,D,A,SD,SD,D,SA,SD,D
326020,28,True,D,A,N,A,N,SA,D,D,SD,SD,SA,D
315472,27,True,A,D,N,SD,A,A,D,SA,SD,D,A,SD
972308,22,True,N,N,SD,N,A,D,SD,SA,D,N,SD,D
898276,25,True,D,SD,D,N,SA,N,A,SA,N,SA,A,A
558844,12,True,SA,A,SD,SA,N,SD,SA,N,N,SA,N,D
713637,19,True,SA,A,D,N,SD,N,D,A,D,D,SD,D
507500,22,True,A,N,N,A,D,D,A,SD,SA,N,A,SA
584304,20,True,D,N,N,SA,A,D,A,SD,D,SA,SA,A
787888,28,True,SD,N,A,D,D,D,N,N,D,SD,N,A
732646,17,True,A,N,N,SA,D,D,A,D,SA,SA,A,D
689162,28,True,A,SA,N,A,SD,SD,N,SA,N,SD,SA,SA
762639,30,True,D,SA,A,SD,N,A,A,A,SA,N,D,SD
